"epoch","train_100 - val_mean_pred_energy_drift","train_100 - val_mean_pred_energy_drift__MIN","train_100 - val_mean_pred_energy_drift__MAX","train_100 - _step","train_100 - _step__MIN","train_100 - _step__MAX","train_75 - val_mean_pred_energy_drift","train_75 - val_mean_pred_energy_drift__MIN","train_75 - val_mean_pred_energy_drift__MAX","train_75 - _step","train_75 - _step__MIN","train_75 - _step__MAX","train_50 - val_mean_pred_energy_drift","train_50 - val_mean_pred_energy_drift__MIN","train_50 - val_mean_pred_energy_drift__MAX","train_50 - _step","train_50 - _step__MIN","train_50 - _step__MAX","train_25 - val_mean_pred_energy_drift","train_25 - val_mean_pred_energy_drift__MIN","train_25 - val_mean_pred_energy_drift__MAX","train_25 - _step","train_25 - _step__MIN","train_25 - _step__MAX","train_10 - val_mean_pred_energy_drift","train_10 - val_mean_pred_energy_drift__MIN","train_10 - val_mean_pred_energy_drift__MAX","train_10 - _step","train_10 - _step__MIN","train_10 - _step__MAX"
"0","0.6766396760940552","0.6766396760940552","0.6766396760940552","1879","1879","1879","0.28830432891845703","0.28830432891845703","0.28830432891845703","1413","1413","1413","0.5726144313812256","0.5726144313812256","0.5726144313812256","948","948","948","0.8007696270942688","0.8007696270942688","0.8007696270942688","482","482","482","0.7019699811935425","0.7019699811935425","0.7019699811935425","203","203","203"
"1","0.24074608087539673","0.24074608087539673","0.24074608087539673","3750","3750","3750","0.3029167056083679","0.3029167056083679","0.3029167056083679","2818","2818","2818","0.3822508454322815","0.3822508454322815","0.3822508454322815","1888","1888","1888","0.25798848271369934","0.25798848271369934","0.25798848271369934","956","956","956","0.9854480624198914","0.9854480624198914","0.9854480624198914","398","398","398"
"2","0.19352200627326965","0.19352200627326965","0.19352200627326965","5621","5621","5621","0.22730590403079987","0.22730590403079987","0.22730590403079987","4223","4223","4223","0.23351247608661652","0.23351247608661652","0.23351247608661652","2828","2828","2828","0.19789323210716248","0.19789323210716248","0.19789323210716248","1430","1430","1430","1.1651517152786255","1.1651517152786255","1.1651517152786255","593","593","593"
"3","0.33081960678100586","0.33081960678100586","0.33081960678100586","7492","7492","7492","0.10219895839691162","0.10219895839691162","0.10219895839691162","5628","5628","5628","0.13465356826782227","0.13465356826782227","0.13465356826782227","3768","3768","3768","0.360989511013031","0.360989511013031","0.360989511013031","1904","1904","1904","0.6293226480484009","0.6293226480484009","0.6293226480484009","788","788","788"
"4","0.13407723605632782","0.13407723605632782","0.13407723605632782","9363","9363","9363","0.1666763424873352","0.1666763424873352","0.1666763424873352","7033","7033","7033","0.19449277222156525","0.19449277222156525","0.19449277222156525","4708","4708","4708","0.47680890560150146","0.47680890560150146","0.47680890560150146","2378","2378","2378","0.44216081500053406","0.44216081500053406","0.44216081500053406","983","983","983"
"5","0.05544135719537735","0.05544135719537735","0.05544135719537735","11234","11234","11234","0.08334052562713623","0.08334052562713623","0.08334052562713623","8438","8438","8438","0.11967334896326065","0.11967334896326065","0.11967334896326065","5648","5648","5648","0.24474361538887024","0.24474361538887024","0.24474361538887024","2852","2852","2852","0.1943264752626419","0.1943264752626419","0.1943264752626419","1178","1178","1178"
"6","0.08442255854606628","0.08442255854606628","0.08442255854606628","13105","13105","13105","0.09838507324457169","0.09838507324457169","0.09838507324457169","9843","9843","9843","0.12031761556863785","0.12031761556863785","0.12031761556863785","6588","6588","6588","0.30722755193710327","0.30722755193710327","0.30722755193710327","3326","3326","3326","0.5104714035987854","0.5104714035987854","0.5104714035987854","1373","1373","1373"
"7","0.12878650426864624","0.12878650426864624","0.12878650426864624","14976","14976","14976","0.24221427738666534","0.24221427738666534","0.24221427738666534","11248","11248","11248","0.09032221138477325","0.09032221138477325","0.09032221138477325","7528","7528","7528","0.4118659198284149","0.4118659198284149","0.4118659198284149","3800","3800","3800","1.2419801950454712","1.2419801950454712","1.2419801950454712","1568","1568","1568"
"8","0.053488872945308685","0.053488872945308685","0.053488872945308685","16847","16847","16847","0.1020074412226677","0.1020074412226677","0.1020074412226677","12653","12653","12653","0.3571568727493286","0.3571568727493286","0.3571568727493286","8468","8468","8468","0.22017592191696167","0.22017592191696167","0.22017592191696167","4274","4274","4274","0.5723145008087158","0.5723145008087158","0.5723145008087158","1763","1763","1763"
"9","0.08702494949102402","0.08702494949102402","0.08702494949102402","18718","18718","18718","0.23538589477539062","0.23538589477539062","0.23538589477539062","14058","14058","14058","0.09478666633367538","0.09478666633367538","0.09478666633367538","9408","9408","9408","0.24271292984485626","0.24271292984485626","0.24271292984485626","4748","4748","4748","0.34187325835227966","0.34187325835227966","0.34187325835227966","1958","1958","1958"
"10","0.07848721742630005","0.07848721742630005","0.07848721742630005","20594","20594","20594","0.14763803780078888","0.14763803780078888","0.14763803780078888","15468","15468","15468","0.09366811066865921","0.09366811066865921","0.09366811066865921","10353","10353","10353","0.15928269922733307","0.15928269922733307","0.15928269922733307","5227","5227","5227","0.23428641259670258","0.23428641259670258","0.23428641259670258","2158","2158","2158"
"11","0.068781279027462","0.068781279027462","0.068781279027462","22465","22465","22465","0.06571026891469955","0.06571026891469955","0.06571026891469955","16873","16873","16873","0.08239014446735382","0.08239014446735382","0.08239014446735382","11293","11293","11293","0.1690477579832077","0.1690477579832077","0.1690477579832077","5701","5701","5701","0.1915677934885025","0.1915677934885025","0.1915677934885025","2353","2353","2353"
"12","0.042738381773233414","0.042738381773233414","0.042738381773233414","24336","24336","24336","0.13177742063999176","0.13177742063999176","0.13177742063999176","18278","18278","18278","0.05965324863791466","0.05965324863791466","0.05965324863791466","12233","12233","12233","0.07772236317396164","0.07772236317396164","0.07772236317396164","6175","6175","6175","0.2223937064409256","0.2223937064409256","0.2223937064409256","2548","2548","2548"
"13","0.07739206403493881","0.07739206403493881","0.07739206403493881","26207","26207","26207","0.16555927693843842","0.16555927693843842","0.16555927693843842","19683","19683","19683","0.06778103113174438","0.06778103113174438","0.06778103113174438","13173","13173","13173","0.14597772061824799","0.14597772061824799","0.14597772061824799","6649","6649","6649","0.4227331578731537","0.4227331578731537","0.4227331578731537","2743","2743","2743"
"14","0.1334991157054901","0.1334991157054901","0.1334991157054901","28078","28078","28078","0.03810462728142738","0.03810462728142738","0.03810462728142738","21088","21088","21088","0.16087548434734344","0.16087548434734344","0.16087548434734344","14113","14113","14113","0.15781517326831818","0.15781517326831818","0.15781517326831818","7123","7123","7123","0.09323940426111221","0.09323940426111221","0.09323940426111221","2938","2938","2938"
"15","0.041525330394506454","0.041525330394506454","0.041525330394506454","29949","29949","29949","0.04436340928077698","0.04436340928077698","0.04436340928077698","22493","22493","22493","0.0942428708076477","0.0942428708076477","0.0942428708076477","15053","15053","15053","0.19294054806232452","0.19294054806232452","0.19294054806232452","7597","7597","7597","0.1664479523897171","0.1664479523897171","0.1664479523897171","3133","3133","3133"
"16","0.06833957135677338","0.06833957135677338","0.06833957135677338","31820","31820","31820","0.07877939939498901","0.07877939939498901","0.07877939939498901","23898","23898","23898","0.06735667586326599","0.06735667586326599","0.06735667586326599","15993","15993","15993","0.0697193443775177","0.0697193443775177","0.0697193443775177","8071","8071","8071","0.26067548990249634","0.26067548990249634","0.26067548990249634","3328","3328","3328"
"17","0.04079470783472061","0.04079470783472061","0.04079470783472061","33691","33691","33691","0.036055054515600204","0.036055054515600204","0.036055054515600204","25303","25303","25303","0.10707761347293854","0.10707761347293854","0.10707761347293854","16933","16933","16933","0.38409683108329773","0.38409683108329773","0.38409683108329773","8545","8545","8545","0.15876461565494537","0.15876461565494537","0.15876461565494537","3523","3523","3523"
"18","0.135282501578331","0.135282501578331","0.135282501578331","35562","35562","35562","0.043132681399583817","0.043132681399583817","0.043132681399583817","26708","26708","26708","0.17454937100410461","0.17454937100410461","0.17454937100410461","17873","17873","17873","0.06354518234729767","0.06354518234729767","0.06354518234729767","9019","9019","9019","0.2626778781414032","0.2626778781414032","0.2626778781414032","3718","3718","3718"
"19","0.053660668432712555","0.053660668432712555","0.053660668432712555","37433","37433","37433","0.09226112812757492","0.09226112812757492","0.09226112812757492","28113","28113","28113","0.08717896044254303","0.08717896044254303","0.08717896044254303","18813","18813","18813","0.23344287276268005","0.23344287276268005","0.23344287276268005","9493","9493","9493","0.40968576073646545","0.40968576073646545","0.40968576073646545","3913","3913","3913"
"20","0.08455901592969894","0.08455901592969894","0.08455901592969894","39309","39309","39309","0.11556771397590637","0.11556771397590637","0.11556771397590637","29523","29523","29523","0.15429234504699707","0.15429234504699707","0.15429234504699707","19758","19758","19758","0.38561296463012695","0.38561296463012695","0.38561296463012695","9972","9972","9972","0.3598731458187103","0.3598731458187103","0.3598731458187103","4113","4113","4113"
"21","0.07406827062368393","0.07406827062368393","0.07406827062368393","41180","41180","41180","0.07552282512187958","0.07552282512187958","0.07552282512187958","30928","30928","30928","0.11443092674016953","0.11443092674016953","0.11443092674016953","20698","20698","20698","0.14044368267059326","0.14044368267059326","0.14044368267059326","10446","10446","10446","0.3434331715106964","0.3434331715106964","0.3434331715106964","4308","4308","4308"
"22","0.05683838948607445","0.05683838948607445","0.05683838948607445","43051","43051","43051","0.03279230743646622","0.03279230743646622","0.03279230743646622","32333","32333","32333","0.13713684678077698","0.13713684678077698","0.13713684678077698","21638","21638","21638","0.08260885626077652","0.08260885626077652","0.08260885626077652","10920","10920","10920","0.13480444252490997","0.13480444252490997","0.13480444252490997","4503","4503","4503"
"23","0.06659344583749771","0.06659344583749771","0.06659344583749771","44922","44922","44922","0.08864758908748627","0.08864758908748627","0.08864758908748627","33738","33738","33738","0.13999590277671814","0.13999590277671814","0.13999590277671814","22578","22578","22578","0.10506530106067657","0.10506530106067657","0.10506530106067657","11394","11394","11394","0.3990677297115326","0.3990677297115326","0.3990677297115326","4698","4698","4698"
"24","0.07517518848180771","0.07517518848180771","0.07517518848180771","46793","46793","46793","0.051043491810560226","0.051043491810560226","0.051043491810560226","35143","35143","35143","0.07263578474521637","0.07263578474521637","0.07263578474521637","23518","23518","23518","0.07036218792200089","0.07036218792200089","0.07036218792200089","11868","11868","11868","0.4774615168571472","0.4774615168571472","0.4774615168571472","4893","4893","4893"
"25","0.05626945570111275","0.05626945570111275","0.05626945570111275","48664","48664","48664","0.04727068915963173","0.04727068915963173","0.04727068915963173","36548","36548","36548","0.0971250906586647","0.0971250906586647","0.0971250906586647","24458","24458","24458","0.08236292749643326","0.08236292749643326","0.08236292749643326","12342","12342","12342","0.20185798406600952","0.20185798406600952","0.20185798406600952","5088","5088","5088"
"26","0.03758278116583824","0.03758278116583824","0.03758278116583824","50535","50535","50535","0.06266611069440842","0.06266611069440842","0.06266611069440842","37953","37953","37953","0.056313689798116684","0.056313689798116684","0.056313689798116684","25398","25398","25398","0.07415448129177094","0.07415448129177094","0.07415448129177094","12816","12816","12816","0.14362429082393646","0.14362429082393646","0.14362429082393646","5283","5283","5283"
"27","0.053206298500299454","0.053206298500299454","0.053206298500299454","52406","52406","52406","0.0363333597779274","0.0363333597779274","0.0363333597779274","39358","39358","39358","0.07581809163093567","0.07581809163093567","0.07581809163093567","26338","26338","26338","0.14696332812309265","0.14696332812309265","0.14696332812309265","13290","13290","13290","0.18381261825561523","0.18381261825561523","0.18381261825561523","5478","5478","5478"
"28","0.06306315958499908","0.06306315958499908","0.06306315958499908","54277","54277","54277","0.03883630409836769","0.03883630409836769","0.03883630409836769","40763","40763","40763","0.08125729113817215","0.08125729113817215","0.08125729113817215","27278","27278","27278","0.0714934691786766","0.0714934691786766","0.0714934691786766","13764","13764","13764","0.1336463838815689","0.1336463838815689","0.1336463838815689","5673","5673","5673"
"29","0.044766638427972794","0.044766638427972794","0.044766638427972794","56148","56148","56148","0.06458503007888794","0.06458503007888794","0.06458503007888794","42168","42168","42168","0.07964088767766953","0.07964088767766953","0.07964088767766953","28218","28218","28218","0.2347981482744217","0.2347981482744217","0.2347981482744217","14238","14238","14238","1.3563785552978516","1.3563785552978516","1.3563785552978516","5868","5868","5868"
"30","0.09765228629112244","0.09765228629112244","0.09765228629112244","58024","58024","58024","0.05151834338903427","0.05151834338903427","0.05151834338903427","43578","43578","43578","0.045486364513635635","0.045486364513635635","0.045486364513635635","29163","29163","29163","0.2328622192144394","0.2328622192144394","0.2328622192144394","14717","14717","14717","0.1604367196559906","0.1604367196559906","0.1604367196559906","6068","6068","6068"
"31","0.027492547407746315","0.027492547407746315","0.027492547407746315","59895","59895","59895","0.04568494111299515","0.04568494111299515","0.04568494111299515","44983","44983","44983","0.08155318349599838","0.08155318349599838","0.08155318349599838","30103","30103","30103","0.10855422168970108","0.10855422168970108","0.10855422168970108","15191","15191","15191","0.13992473483085632","0.13992473483085632","0.13992473483085632","6263","6263","6263"
"32","0.04050053656101227","0.04050053656101227","0.04050053656101227","61766","61766","61766","0.03371793031692505","0.03371793031692505","0.03371793031692505","46388","46388","46388","0.1046467050909996","0.1046467050909996","0.1046467050909996","31043","31043","31043","0.07878292351961136","0.07878292351961136","0.07878292351961136","15665","15665","15665","0.19557195901870728","0.19557195901870728","0.19557195901870728","6458","6458","6458"
"33","0.04542135074734688","0.04542135074734688","0.04542135074734688","63637","63637","63637","0.043736912310123444","0.043736912310123444","0.043736912310123444","47793","47793","47793","0.07042638212442398","0.07042638212442398","0.07042638212442398","31983","31983","31983","0.1082812249660492","0.1082812249660492","0.1082812249660492","16139","16139","16139","0.22347791492938995","0.22347791492938995","0.22347791492938995","6653","6653","6653"
"34","0.03634713217616081","0.03634713217616081","0.03634713217616081","65508","65508","65508","0.032406166195869446","0.032406166195869446","0.032406166195869446","49198","49198","49198","0.1719980686903","0.1719980686903","0.1719980686903","32923","32923","32923","0.05971083045005798","0.05971083045005798","0.05971083045005798","16613","16613","16613","0.2400650978088379","0.2400650978088379","0.2400650978088379","6848","6848","6848"
"35","0.050649531185626984","0.050649531185626984","0.050649531185626984","67379","67379","67379","0.037039339542388916","0.037039339542388916","0.037039339542388916","50603","50603","50603","0.0484800711274147","0.0484800711274147","0.0484800711274147","33863","33863","33863","0.1568538248538971","0.1568538248538971","0.1568538248538971","17087","17087","17087","0.2553551495075226","0.2553551495075226","0.2553551495075226","7043","7043","7043"
"36","0.03345178812742233","0.03345178812742233","0.03345178812742233","69250","69250","69250","0.03699984773993492","0.03699984773993492","0.03699984773993492","52008","52008","52008","0.06436331570148468","0.06436331570148468","0.06436331570148468","34803","34803","34803","0.1323242336511612","0.1323242336511612","0.1323242336511612","17561","17561","17561","0.42294251918792725","0.42294251918792725","0.42294251918792725","7238","7238","7238"
"37","0.04935850948095322","0.04935850948095322","0.04935850948095322","71121","71121","71121","0.04550613462924957","0.04550613462924957","0.04550613462924957","53413","53413","53413","0.0619216226041317","0.0619216226041317","0.0619216226041317","35743","35743","35743","0.21026170253753662","0.21026170253753662","0.21026170253753662","18035","18035","18035","0.3151484727859497","0.3151484727859497","0.3151484727859497","7433","7433","7433"
"38","0.04318048804998398","0.04318048804998398","0.04318048804998398","72992","72992","72992","0.04768962040543556","0.04768962040543556","0.04768962040543556","54818","54818","54818","0.058331198990345","0.058331198990345","0.058331198990345","36683","36683","36683","0.12796534597873688","0.12796534597873688","0.12796534597873688","18509","18509","18509","0.16905683279037476","0.16905683279037476","0.16905683279037476","7628","7628","7628"
"39","0.05592743307352066","0.05592743307352066","0.05592743307352066","74863","74863","74863","0.06356263160705566","0.06356263160705566","0.06356263160705566","56223","56223","56223","0.08347075432538986","0.08347075432538986","0.08347075432538986","37623","37623","37623","0.10926499217748642","0.10926499217748642","0.10926499217748642","18983","18983","18983","0.20386995375156403","0.20386995375156403","0.20386995375156403","7823","7823","7823"
"40","0.0391809344291687","0.0391809344291687","0.0391809344291687","76739","76739","76739","0.060970064252614975","0.060970064252614975","0.060970064252614975","57633","57633","57633","0.1452690213918686","0.1452690213918686","0.1452690213918686","38568","38568","38568","0.06077219545841217","0.06077219545841217","0.06077219545841217","19462","19462","19462","0.18771952390670776","0.18771952390670776","0.18771952390670776","8023","8023","8023"
"41","0.04005245491862297","0.04005245491862297","0.04005245491862297","78610","78610","78610","0.033441267907619476","0.033441267907619476","0.033441267907619476","59038","59038","59038","0.07383159548044205","0.07383159548044205","0.07383159548044205","39508","39508","39508","0.0483424998819828","0.0483424998819828","0.0483424998819828","19936","19936","19936","0.24264276027679443","0.24264276027679443","0.24264276027679443","8218","8218","8218"
"42","0.029593346640467644","0.029593346640467644","0.029593346640467644","80481","80481","80481","0.05583465099334717","0.05583465099334717","0.05583465099334717","60443","60443","60443","0.04047197103500366","0.04047197103500366","0.04047197103500366","40448","40448","40448","0.059774767607450485","0.059774767607450485","0.059774767607450485","20410","20410","20410","0.1568339616060257","0.1568339616060257","0.1568339616060257","8413","8413","8413"
"43","0.03437615931034088","0.03437615931034088","0.03437615931034088","82352","82352","82352","0.05590854212641716","0.05590854212641716","0.05590854212641716","61848","61848","61848","0.032019492238759995","0.032019492238759995","0.032019492238759995","41388","41388","41388","0.04987683892250061","0.04987683892250061","0.04987683892250061","20884","20884","20884","0.19840270280838013","0.19840270280838013","0.19840270280838013","8608","8608","8608"
"44","0.03580816462635994","0.03580816462635994","0.03580816462635994","84223","84223","84223","0.03303903713822365","0.03303903713822365","0.03303903713822365","63253","63253","63253","0.06699834764003754","0.06699834764003754","0.06699834764003754","42328","42328","42328","0.14946050941944122","0.14946050941944122","0.14946050941944122","21358","21358","21358","0.12825928628444672","0.12825928628444672","0.12825928628444672","8803","8803","8803"
"45","0.0709817036986351","0.0709817036986351","0.0709817036986351","86094","86094","86094","0.10902223736047745","0.10902223736047745","0.10902223736047745","64658","64658","64658","0.07025104016065598","0.07025104016065598","0.07025104016065598","43268","43268","43268","0.052717287093400955","0.052717287093400955","0.052717287093400955","21832","21832","21832","0.12525123357772827","0.12525123357772827","0.12525123357772827","8998","8998","8998"
"46","0.04756142944097519","0.04756142944097519","0.04756142944097519","87965","87965","87965","0.04122757911682129","0.04122757911682129","0.04122757911682129","66063","66063","66063","0.048421334475278854","0.048421334475278854","0.048421334475278854","44208","44208","44208","0.043153293430805206","0.043153293430805206","0.043153293430805206","22306","22306","22306","0.376492440700531","0.376492440700531","0.376492440700531","9193","9193","9193"
"47","0.03457403555512428","0.03457403555512428","0.03457403555512428","89836","89836","89836","0.02797475829720497","0.02797475829720497","0.02797475829720497","67468","67468","67468","0.07296192646026611","0.07296192646026611","0.07296192646026611","45148","45148","45148","0.18264442682266235","0.18264442682266235","0.18264442682266235","22780","22780","22780","0.3230518400669098","0.3230518400669098","0.3230518400669098","9388","9388","9388"
"48","0.04082199186086655","0.04082199186086655","0.04082199186086655","91707","91707","91707","0.08632791042327881","0.08632791042327881","0.08632791042327881","68873","68873","68873","0.04412882775068283","0.04412882775068283","0.04412882775068283","46088","46088","46088","0.15395376086235046","0.15395376086235046","0.15395376086235046","23254","23254","23254","0.23615093529224396","0.23615093529224396","0.23615093529224396","9583","9583","9583"
"49","0.04656708240509033","0.04656708240509033","0.04656708240509033","93578","93578","93578","0.04058770090341568","0.04058770090341568","0.04058770090341568","70278","70278","70278","0.06684974581003189","0.06684974581003189","0.06684974581003189","47028","47028","47028","0.0651787593960762","0.0651787593960762","0.0651787593960762","23728","23728","23728","0.4217854142189026","0.4217854142189026","0.4217854142189026","9778","9778","9778"
"50","0.03209207206964493","0.03209207206964493","0.03209207206964493","95454","95454","95454","0.0693938359618187","0.0693938359618187","0.0693938359618187","71688","71688","71688","0.052225057035684586","0.052225057035684586","0.052225057035684586","47973","47973","47973","0.05968966707587242","0.05968966707587242","0.05968966707587242","24207","24207","24207","0.10897407680749893","0.10897407680749893","0.10897407680749893","9978","9978","9978"
"51","0.03781618922948837","0.03781618922948837","0.03781618922948837","97325","97325","97325","0.08899606764316559","0.08899606764316559","0.08899606764316559","73093","73093","73093","0.05936923623085022","0.05936923623085022","0.05936923623085022","48913","48913","48913","0.1456916183233261","0.1456916183233261","0.1456916183233261","24681","24681","24681","0.15424498915672302","0.15424498915672302","0.15424498915672302","10173","10173","10173"
"52","0.05594149976968765","0.05594149976968765","0.05594149976968765","99196","99196","99196","0.043205928057432175","0.043205928057432175","0.043205928057432175","74498","74498","74498","0.06638676673173904","0.06638676673173904","0.06638676673173904","49853","49853","49853","0.0641760528087616","0.0641760528087616","0.0641760528087616","25155","25155","25155","0.09891504049301147","0.09891504049301147","0.09891504049301147","10368","10368","10368"
"53","0.037453942000865936","0.037453942000865936","0.037453942000865936","101067","101067","101067","0.07748417556285858","0.07748417556285858","0.07748417556285858","75903","75903","75903","0.0411929115653038","0.0411929115653038","0.0411929115653038","50793","50793","50793","0.051536109298467636","0.051536109298467636","0.051536109298467636","25629","25629","25629","0.42575228214263916","0.42575228214263916","0.42575228214263916","10563","10563","10563"
"54","0.04894356429576874","0.04894356429576874","0.04894356429576874","102938","102938","102938","0.02698310650885105","0.02698310650885105","0.02698310650885105","77308","77308","77308","0.09827907383441925","0.09827907383441925","0.09827907383441925","51733","51733","51733","0.06296514719724655","0.06296514719724655","0.06296514719724655","26103","26103","26103","0.2745651602745056","0.2745651602745056","0.2745651602745056","10758","10758","10758"
"55","0.03744564950466156","0.03744564950466156","0.03744564950466156","104809","104809","104809","0.03399723023176193","0.03399723023176193","0.03399723023176193","78713","78713","78713","0.05106944963335991","0.05106944963335991","0.05106944963335991","52673","52673","52673","0.0475957989692688","0.0475957989692688","0.0475957989692688","26577","26577","26577","0.5249221324920654","0.5249221324920654","0.5249221324920654","10953","10953","10953"
"56","0.07732619345188141","0.07732619345188141","0.07732619345188141","106680","106680","106680","0.05365994572639465","0.05365994572639465","0.05365994572639465","80118","80118","80118","0.05010085925459862","0.05010085925459862","0.05010085925459862","53613","53613","53613","0.03892434760928154","0.03892434760928154","0.03892434760928154","27051","27051","27051","0.18925358355045319","0.18925358355045319","0.18925358355045319","11148","11148","11148"
"57","0.026515426114201546","0.026515426114201546","0.026515426114201546","108551","108551","108551","0.05060650780797005","0.05060650780797005","0.05060650780797005","81523","81523","81523","0.030886171385645866","0.030886171385645866","0.030886171385645866","54553","54553","54553","0.1290990114212036","0.1290990114212036","0.1290990114212036","27525","27525","27525","0.14588801562786102","0.14588801562786102","0.14588801562786102","11343","11343","11343"
"58","0.03374457731842995","0.03374457731842995","0.03374457731842995","110422","110422","110422","0.045887961983680725","0.045887961983680725","0.045887961983680725","82928","82928","82928","0.1601998656988144","0.1601998656988144","0.1601998656988144","55493","55493","55493","0.05766237899661064","0.05766237899661064","0.05766237899661064","27999","27999","27999","0.07289495319128036","0.07289495319128036","0.07289495319128036","11538","11538","11538"
"59","0.051678117364645004","0.051678117364645004","0.051678117364645004","112293","112293","112293","0.03685755655169487","0.03685755655169487","0.03685755655169487","84333","84333","84333","0.029040833935141563","0.029040833935141563","0.029040833935141563","56433","56433","56433","0.1169239729642868","0.1169239729642868","0.1169239729642868","28473","28473","28473","0.4257773160934448","0.4257773160934448","0.4257773160934448","11733","11733","11733"
"60","0.03234708681702614","0.03234708681702614","0.03234708681702614","114169","114169","114169","0.035499073565006256","0.035499073565006256","0.035499073565006256","85743","85743","85743","0.03294582664966583","0.03294582664966583","0.03294582664966583","57378","57378","57378","0.10574989020824432","0.10574989020824432","0.10574989020824432","28952","28952","28952","0.1329321414232254","0.1329321414232254","0.1329321414232254","11933","11933","11933"
"61","0.0707845464348793","0.0707845464348793","0.0707845464348793","116040","116040","116040","0.04235953465104103","0.04235953465104103","0.04235953465104103","87148","87148","87148","0.03422714024782181","0.03422714024782181","0.03422714024782181","58318","58318","58318","0.10738931596279144","0.10738931596279144","0.10738931596279144","29426","29426","29426","0.19635215401649475","0.19635215401649475","0.19635215401649475","12128","12128","12128"
"62","0.04616415873169899","0.04616415873169899","0.04616415873169899","117911","117911","117911","0.03417056426405907","0.03417056426405907","0.03417056426405907","88553","88553","88553","0.11108321696519852","0.11108321696519852","0.11108321696519852","59258","59258","59258","0.04200339689850807","0.04200339689850807","0.04200339689850807","29900","29900","29900","0.17607168853282928","0.17607168853282928","0.17607168853282928","12323","12323","12323"
"63","0.0342678464949131","0.0342678464949131","0.0342678464949131","119782","119782","119782","0.07224272936582565","0.07224272936582565","0.07224272936582565","89958","89958","89958","0.06415565311908722","0.06415565311908722","0.06415565311908722","60198","60198","60198","0.06887570768594742","0.06887570768594742","0.06887570768594742","30374","30374","30374","0.10746682435274124","0.10746682435274124","0.10746682435274124","12518","12518","12518"
"64","0.05767953023314476","0.05767953023314476","0.05767953023314476","121653","121653","121653","0.03429948911070824","0.03429948911070824","0.03429948911070824","91363","91363","91363","0.09894923120737076","0.09894923120737076","0.09894923120737076","61138","61138","61138","0.07733609527349472","0.07733609527349472","0.07733609527349472","30848","30848","30848","0.28323009610176086","0.28323009610176086","0.28323009610176086","12713","12713","12713"
"65","0.025269918143749237","0.025269918143749237","0.025269918143749237","123524","123524","123524","0.03536691889166832","0.03536691889166832","0.03536691889166832","92768","92768","92768","0.03191645070910454","0.03191645070910454","0.03191645070910454","62078","62078","62078","0.05154677480459213","0.05154677480459213","0.05154677480459213","31322","31322","31322","0.09406976401805878","0.09406976401805878","0.09406976401805878","12908","12908","12908"
