ensemble_member,energy_rel_error,sigma_deg,model,sigma_bin
50,0.5479524255555556,6.399353141731069,40dt sub2 MP1,"(6.248, 6.957]"
51,0.4255823418888889,6.863231597826855,40dt sub2 MP1,"(6.248, 6.957]"
52,0.2501383948888889,6.6929403819921305,40dt sub2 MP1,"(6.248, 6.957]"
53,0.39163337444444446,9.546862896665827,40dt sub2 MP1,"(9.066, 9.769]"
54,0.43748868333333335,11.250029653407651,40dt sub2 MP1,"(11.175, 11.877]"
55,0.3420387488888889,9.427395910456635,40dt sub2 MP1,"(9.066, 9.769]"
56,0.6135891033333334,6.311771198790625,40dt sub2 MP1,"(6.248, 6.957]"
57,0.5159085666666666,11.877424083519557,40dt sub2 MP1,"(11.175, 11.877]"
58,0.33832304733333335,6.807313250478883,40dt sub2 MP1,"(6.248, 6.957]"
59,0.40766283666666664,8.31053697660212,40dt sub2 MP1,"(7.66, 8.363]"
60,0.28796235666666664,8.50133621156931,40dt sub2 MP1,"(8.363, 9.066]"
61,0.2819282111111111,8.276784478361574,40dt sub2 MP1,"(7.66, 8.363]"
62,0.2927401107777778,8.88546256980047,40dt sub2 MP1,"(8.363, 9.066]"
63,0.4656259949999999,10.826350967682465,40dt sub2 MP1,"(10.472, 11.175]"
64,0.5290228544444444,7.214427558754311,40dt sub2 MP1,"(6.957, 7.66]"
65,0.4766130838888889,10.354293769628562,40dt sub2 MP1,"(9.769, 10.472]"
66,0.44027208633333337,10.80530505651058,40dt sub2 MP1,"(10.472, 11.175]"
67,0.4810711863333334,7.520300123035123,40dt sub2 MP1,"(6.957, 7.66]"
68,0.40851767333333333,9.434583084203098,40dt sub2 MP1,"(9.066, 9.769]"
69,0.4209566211111111,8.952919293452574,40dt sub2 MP1,"(8.363, 9.066]"
70,0.5692211044444444,6.52625407146461,40dt sub2 MP1,"(6.248, 6.957]"
71,0.47379041666666666,8.00182654996943,40dt sub2 MP1,"(7.66, 8.363]"
72,0.4154371193333333,7.886639881225578,40dt sub2 MP1,"(7.66, 8.363]"
73,0.39236411555555556,8.299918936664458,40dt sub2 MP1,"(7.66, 8.363]"
74,0.31689684222222225,8.876217384747243,40dt sub2 MP1,"(8.363, 9.066]"
75,0.5759673133333334,6.710871463302249,40dt sub2 MP1,"(6.248, 6.957]"
76,0.7191411783333334,10.116578190632692,40dt sub2 MP1,"(9.769, 10.472]"
77,0.36290977,8.751288490791307,40dt sub2 MP1,"(8.363, 9.066]"
78,0.5077973366666666,6.663530465976664,40dt sub2 MP1,"(6.248, 6.957]"
79,0.6089386988888889,6.638517191228297,40dt sub2 MP1,"(6.248, 6.957]"
80,0.6238483677777779,11.382200393379751,40dt sub2 MP1,"(11.175, 11.877]"
81,0.5577139588888889,7.189225363277388,40dt sub2 MP1,"(6.957, 7.66]"
82,0.5268980711111112,6.309947502086393,40dt sub2 MP1,"(6.248, 6.957]"
83,0.6313186466666667,6.343391640919562,40dt sub2 MP1,"(6.248, 6.957]"
84,0.6206360366666667,11.027881311932298,40dt sub2 MP1,"(10.472, 11.175]"
85,0.6518143994444444,11.10678659857161,40dt sub2 MP1,"(10.472, 11.175]"
86,0.3537317211111111,10.259428183687824,40dt sub2 MP1,"(9.769, 10.472]"
87,0.5681107944444445,6.254103309481002,40dt sub2 MP1,"(6.248, 6.957]"
88,0.5421482577777778,7.101199373281914,40dt sub2 MP1,"(6.957, 7.66]"
89,0.36375698844444443,9.434478899751824,40dt sub2 MP1,"(9.066, 9.769]"
90,0.3197402088888889,10.198655667534396,40dt sub2 MP1,"(9.769, 10.472]"
91,0.4349320566666666,8.424206344444595,40dt sub2 MP1,"(8.363, 9.066]"
92,0.4775760811111111,7.828227622564988,40dt sub2 MP1,"(7.66, 8.363]"
93,0.45413305222222217,8.452698656572183,40dt sub2 MP1,"(8.363, 9.066]"
94,0.27860279293333334,8.510400264941161,40dt sub2 MP1,"(8.363, 9.066]"
95,0.4164699488888889,10.212013086662228,40dt sub2 MP1,"(9.769, 10.472]"
96,0.40164895,9.294866301598079,40dt sub2 MP1,"(9.066, 9.769]"
97,0.41677929555555554,10.420234130893322,40dt sub2 MP1,"(9.769, 10.472]"
98,0.3784784871111111,10.799222464583018,40dt sub2 MP1,"(10.472, 11.175]"
99,0.3840075422222222,6.333407501441268,40dt sub2 MP1,"(6.248, 6.957]"
50,0.81969008,6.399353141731069,40dt sub1 MP1,"(6.248, 6.957]"
51,0.7357896688888889,6.863231597826855,40dt sub1 MP1,"(6.248, 6.957]"
52,0.7415802788888889,6.6929403819921305,40dt sub1 MP1,"(6.248, 6.957]"
53,0.6435992088888889,9.546862896665827,40dt sub1 MP1,"(9.066, 9.769]"
54,0.6677585477777778,11.250029653407651,40dt sub1 MP1,"(11.175, 11.877]"
55,0.6590926922222222,9.427395910456635,40dt sub1 MP1,"(9.066, 9.769]"
56,0.8390572333333333,6.311771198790625,40dt sub1 MP1,"(6.248, 6.957]"
57,0.6809215122222222,11.877424083519557,40dt sub1 MP1,"(11.175, 11.877]"
58,0.7608073955555555,6.807313250478883,40dt sub1 MP1,"(6.248, 6.957]"
59,0.6778227533333333,8.31053697660212,40dt sub1 MP1,"(7.66, 8.363]"
60,0.6515633122222222,8.50133621156931,40dt sub1 MP1,"(8.363, 9.066]"
61,0.6280719275555556,8.276784478361574,40dt sub1 MP1,"(7.66, 8.363]"
62,0.6367131133333334,8.88546256980047,40dt sub1 MP1,"(8.363, 9.066]"
63,0.7056751255555556,10.826350967682465,40dt sub1 MP1,"(10.472, 11.175]"
64,0.7816307388888889,7.214427558754311,40dt sub1 MP1,"(6.957, 7.66]"
65,0.6601399344444444,10.354293769628562,40dt sub1 MP1,"(9.769, 10.472]"
66,0.6459306588888889,10.80530505651058,40dt sub1 MP1,"(10.472, 11.175]"
67,0.7523247255555555,7.520300123035123,40dt sub1 MP1,"(6.957, 7.66]"
68,0.6594696155555556,9.434583084203098,40dt sub1 MP1,"(9.066, 9.769]"
69,0.6617104855555556,8.952919293452574,40dt sub1 MP1,"(8.363, 9.066]"
70,0.6983131955555556,6.52625407146461,40dt sub1 MP1,"(6.248, 6.957]"
71,0.7523088977777778,8.00182654996943,40dt sub1 MP1,"(7.66, 8.363]"
72,0.6524680066666666,7.886639881225578,40dt sub1 MP1,"(7.66, 8.363]"
73,0.7325879077777777,8.299918936664458,40dt sub1 MP1,"(7.66, 8.363]"
74,0.68747698,8.876217384747243,40dt sub1 MP1,"(8.363, 9.066]"
75,0.7154696833333333,6.710871463302249,40dt sub1 MP1,"(6.248, 6.957]"
76,0.5380866488888889,10.116578190632692,40dt sub1 MP1,"(9.769, 10.472]"
77,0.6873365100000001,8.751288490791307,40dt sub1 MP1,"(8.363, 9.066]"
78,0.7373182088888889,6.663530465976664,40dt sub1 MP1,"(6.248, 6.957]"
79,0.8269338744444444,6.638517191228297,40dt sub1 MP1,"(6.248, 6.957]"
80,0.6179629166666667,11.382200393379751,40dt sub1 MP1,"(11.175, 11.877]"
81,0.76259562,7.189225363277388,40dt sub1 MP1,"(6.957, 7.66]"
82,0.7687959011111112,6.309947502086393,40dt sub1 MP1,"(6.248, 6.957]"
83,0.7309868644444444,6.343391640919562,40dt sub1 MP1,"(6.248, 6.957]"
84,0.6934363466666666,11.027881311932298,40dt sub1 MP1,"(10.472, 11.175]"
85,0.6164374688888888,11.10678659857161,40dt sub1 MP1,"(10.472, 11.175]"
86,0.6406437888888888,10.259428183687824,40dt sub1 MP1,"(9.769, 10.472]"
87,0.75995332,6.254103309481002,40dt sub1 MP1,"(6.248, 6.957]"
88,0.70684547,7.101199373281914,40dt sub1 MP1,"(6.957, 7.66]"
89,0.5810408622222222,9.434478899751824,40dt sub1 MP1,"(9.066, 9.769]"
90,0.6503512333333333,10.198655667534396,40dt sub1 MP1,"(9.769, 10.472]"
91,0.67605453,8.424206344444595,40dt sub1 MP1,"(8.363, 9.066]"
92,0.6762652066666667,7.828227622564988,40dt sub1 MP1,"(7.66, 8.363]"
93,0.6023977272222223,8.452698656572183,40dt sub1 MP1,"(8.363, 9.066]"
94,0.6647346577777777,8.510400264941161,40dt sub1 MP1,"(8.363, 9.066]"
95,0.6908222055555555,10.212013086662228,40dt sub1 MP1,"(9.769, 10.472]"
96,0.69148019,9.294866301598079,40dt sub1 MP1,"(9.066, 9.769]"
97,0.7177716977777777,10.420234130893322,40dt sub1 MP1,"(9.769, 10.472]"
98,0.6545406855555556,10.799222464583018,40dt sub1 MP1,"(10.472, 11.175]"
99,0.82455908,6.333407501441268,40dt sub1 MP1,"(6.248, 6.957]"
50,0.66897277,6.399353141731069,40dt sub2 MP2,"(6.248, 6.957]"
51,0.7542308277777778,6.863231597826855,40dt sub2 MP2,"(6.248, 6.957]"
52,0.4015005981111111,6.6929403819921305,40dt sub2 MP2,"(6.248, 6.957]"
53,0.6667405444444445,9.546862896665827,40dt sub2 MP2,"(9.066, 9.769]"
54,0.7055082633333334,11.250029653407651,40dt sub2 MP2,"(11.175, 11.877]"
55,0.6738351911111111,9.427395910456635,40dt sub2 MP2,"(9.066, 9.769]"
56,0.7606173666666667,6.311771198790625,40dt sub2 MP2,"(6.248, 6.957]"
57,0.6954239799999999,11.877424083519557,40dt sub2 MP2,"(11.175, 11.877]"
58,0.7213351633333334,6.807313250478883,40dt sub2 MP2,"(6.248, 6.957]"
59,0.6850682611111112,8.31053697660212,40dt sub2 MP2,"(7.66, 8.363]"
60,0.62600426,8.50133621156931,40dt sub2 MP2,"(8.363, 9.066]"
61,0.6861042466666666,8.276784478361574,40dt sub2 MP2,"(7.66, 8.363]"
62,0.582768734,8.88546256980047,40dt sub2 MP2,"(8.363, 9.066]"
63,0.6166458733333333,10.826350967682465,40dt sub2 MP2,"(10.472, 11.175]"
64,0.7350902884444444,7.214427558754311,40dt sub2 MP2,"(6.957, 7.66]"
65,0.6767160744444445,10.354293769628562,40dt sub2 MP2,"(9.769, 10.472]"
66,0.6426197977777778,10.80530505651058,40dt sub2 MP2,"(10.472, 11.175]"
67,0.7710248255555556,7.520300123035123,40dt sub2 MP2,"(6.957, 7.66]"
68,0.7254741355555555,9.434583084203098,40dt sub2 MP2,"(9.066, 9.769]"
69,0.7461069888888888,8.952919293452574,40dt sub2 MP2,"(8.363, 9.066]"
70,0.7319544655555555,6.52625407146461,40dt sub2 MP2,"(6.248, 6.957]"
71,0.7764557922222222,8.00182654996943,40dt sub2 MP2,"(7.66, 8.363]"
72,0.6522564888888889,7.886639881225578,40dt sub2 MP2,"(7.66, 8.363]"
73,0.7337719522222222,8.299918936664458,40dt sub2 MP2,"(7.66, 8.363]"
74,0.718094738888889,8.876217384747243,40dt sub2 MP2,"(8.363, 9.066]"
75,0.6989564411111111,6.710871463302249,40dt sub2 MP2,"(6.248, 6.957]"
76,0.7454849255555556,10.116578190632692,40dt sub2 MP2,"(9.769, 10.472]"
77,0.6561472890444445,8.751288490791307,40dt sub2 MP2,"(8.363, 9.066]"
78,0.7782390255555556,6.663530465976664,40dt sub2 MP2,"(6.248, 6.957]"
79,0.8051102011111111,6.638517191228297,40dt sub2 MP2,"(6.248, 6.957]"
80,0.6713021333333333,11.382200393379751,40dt sub2 MP2,"(11.175, 11.877]"
81,0.7076052188888888,7.189225363277388,40dt sub2 MP2,"(6.957, 7.66]"
82,0.7600697555555556,6.309947502086393,40dt sub2 MP2,"(6.248, 6.957]"
83,0.6774400866666667,6.343391640919562,40dt sub2 MP2,"(6.248, 6.957]"
84,0.7691881555555555,11.027881311932298,40dt sub2 MP2,"(10.472, 11.175]"
85,0.67570421,11.10678659857161,40dt sub2 MP2,"(10.472, 11.175]"
86,0.52766344,10.259428183687824,40dt sub2 MP2,"(9.769, 10.472]"
87,0.7411312155555555,6.254103309481002,40dt sub2 MP2,"(6.248, 6.957]"
88,0.7252171077777778,7.101199373281914,40dt sub2 MP2,"(6.957, 7.66]"
89,0.6533712011111111,9.434478899751824,40dt sub2 MP2,"(9.066, 9.769]"
90,0.6798465555555555,10.198655667534396,40dt sub2 MP2,"(9.769, 10.472]"
91,0.6850718066666667,8.424206344444595,40dt sub2 MP2,"(8.363, 9.066]"
92,0.5964282255555555,7.828227622564988,40dt sub2 MP2,"(7.66, 8.363]"
93,0.6404574244444444,8.452698656572183,40dt sub2 MP2,"(8.363, 9.066]"
94,0.6919868,8.510400264941161,40dt sub2 MP2,"(8.363, 9.066]"
95,0.7491313633333333,10.212013086662228,40dt sub2 MP2,"(9.769, 10.472]"
96,0.7041741233333334,9.294866301598079,40dt sub2 MP2,"(9.066, 9.769]"
97,0.6711694831111111,10.420234130893322,40dt sub2 MP2,"(9.769, 10.472]"
98,0.6825645877777777,10.799222464583018,40dt sub2 MP2,"(10.472, 11.175]"
99,0.5730640488888888,6.333407501441268,40dt sub2 MP2,"(6.248, 6.957]"
