ensemble_member,rmse,sigma_deg,model,sigma_bin
50,0.7729511933333333,6.399353141731069,40dt sub2 MP1,"(6.248, 6.957]"
51,1.024848118888889,6.863231597826855,40dt sub2 MP1,"(6.248, 6.957]"
52,0.5518459777777778,6.6929403819921305,40dt sub2 MP1,"(6.248, 6.957]"
53,1.2844851444444445,9.546862896665827,40dt sub2 MP1,"(9.066, 9.769]"
54,1.7176575444444444,11.250029653407651,40dt sub2 MP1,"(11.175, 11.877]"
55,1.0157582388888888,9.427395910456635,40dt sub2 MP1,"(9.066, 9.769]"
56,0.9008838355555555,6.311771198790625,40dt sub2 MP1,"(6.248, 6.957]"
57,1.7387484666666666,11.877424083519557,40dt sub2 MP1,"(11.175, 11.877]"
58,0.7983858288888889,6.807313250478883,40dt sub2 MP1,"(6.248, 6.957]"
59,1.0531510444444445,8.31053697660212,40dt sub2 MP1,"(7.66, 8.363]"
60,0.8065258022222221,8.50133621156931,40dt sub2 MP1,"(8.363, 9.066]"
61,1.1077062222222223,8.276784478361574,40dt sub2 MP1,"(7.66, 8.363]"
62,0.92631413,8.88546256980047,40dt sub2 MP1,"(8.363, 9.066]"
63,1.4350223222222223,10.826350967682465,40dt sub2 MP1,"(10.472, 11.175]"
64,0.8858935077777778,7.214427558754311,40dt sub2 MP1,"(6.957, 7.66]"
65,0.9419165577777778,10.354293769628562,40dt sub2 MP1,"(9.769, 10.472]"
66,1.4032883222222223,10.80530505651058,40dt sub2 MP1,"(10.472, 11.175]"
67,0.8888501155555555,7.520300123035123,40dt sub2 MP1,"(6.957, 7.66]"
68,1.0660342555555555,9.434583084203098,40dt sub2 MP1,"(9.066, 9.769]"
69,1.0818133777777779,8.952919293452574,40dt sub2 MP1,"(8.363, 9.066]"
70,0.8037464444444444,6.52625407146461,40dt sub2 MP1,"(6.248, 6.957]"
71,1.1686045555555555,8.00182654996943,40dt sub2 MP1,"(7.66, 8.363]"
72,0.7012213255555556,7.886639881225578,40dt sub2 MP1,"(7.66, 8.363]"
73,1.1362244222222222,8.299918936664458,40dt sub2 MP1,"(7.66, 8.363]"
74,0.955995971111111,8.876217384747243,40dt sub2 MP1,"(8.363, 9.066]"
75,0.92345737,6.710871463302249,40dt sub2 MP1,"(6.248, 6.957]"
76,0.8701731422222222,10.116578190632692,40dt sub2 MP1,"(9.769, 10.472]"
77,0.9878636555555556,8.751288490791307,40dt sub2 MP1,"(8.363, 9.066]"
78,1.0015903800000001,6.663530465976664,40dt sub2 MP1,"(6.248, 6.957]"
79,0.9777457666666667,6.638517191228297,40dt sub2 MP1,"(6.248, 6.957]"
80,1.0221504644444446,11.382200393379751,40dt sub2 MP1,"(11.175, 11.877]"
81,1.01662364,7.189225363277388,40dt sub2 MP1,"(6.957, 7.66]"
82,0.76734735,6.309947502086393,40dt sub2 MP1,"(6.248, 6.957]"
83,0.8477527566666666,6.343391640919562,40dt sub2 MP1,"(6.248, 6.957]"
84,0.9650827155555556,11.027881311932298,40dt sub2 MP1,"(10.472, 11.175]"
85,1.1484559444444444,11.10678659857161,40dt sub2 MP1,"(10.472, 11.175]"
86,1.6435437,10.259428183687824,40dt sub2 MP1,"(9.769, 10.472]"
87,0.8688094122222222,6.254103309481002,40dt sub2 MP1,"(6.248, 6.957]"
88,1.0555440999999999,7.101199373281914,40dt sub2 MP1,"(6.957, 7.66]"
89,0.8524426933333333,9.434478899751824,40dt sub2 MP1,"(9.066, 9.769]"
90,1.415775277777778,10.198655667534396,40dt sub2 MP1,"(9.769, 10.472]"
91,0.9623550155555556,8.424206344444595,40dt sub2 MP1,"(8.363, 9.066]"
92,0.8435019822222222,7.828227622564988,40dt sub2 MP1,"(7.66, 8.363]"
93,0.7960252488888888,8.452698656572183,40dt sub2 MP1,"(8.363, 9.066]"
94,0.9940921222222223,8.510400264941161,40dt sub2 MP1,"(8.363, 9.066]"
95,1.3794824666666665,10.212013086662228,40dt sub2 MP1,"(9.769, 10.472]"
96,1.0768593333333334,9.294866301598079,40dt sub2 MP1,"(9.066, 9.769]"
97,1.6245352222222222,10.420234130893322,40dt sub2 MP1,"(9.769, 10.472]"
98,1.1964768777777777,10.799222464583018,40dt sub2 MP1,"(10.472, 11.175]"
99,0.6421363144444444,6.333407501441268,40dt sub2 MP1,"(6.248, 6.957]"
50,0.7373806444444444,6.399353141731069,40dt sub1 MP1,"(6.248, 6.957]"
51,0.9491734311111111,6.863231597826855,40dt sub1 MP1,"(6.248, 6.957]"
52,0.5215298455555556,6.6929403819921305,40dt sub1 MP1,"(6.248, 6.957]"
53,1.1285976444444445,9.546862896665827,40dt sub1 MP1,"(9.066, 9.769]"
54,1.4472981444444446,11.250029653407651,40dt sub1 MP1,"(11.175, 11.877]"
55,0.9722049377777778,9.427395910456635,40dt sub1 MP1,"(9.066, 9.769]"
56,0.8804582333333334,6.311771198790625,40dt sub1 MP1,"(6.248, 6.957]"
57,1.4935871777777778,11.877424083519557,40dt sub1 MP1,"(11.175, 11.877]"
58,0.7677363166666668,6.807313250478883,40dt sub1 MP1,"(6.248, 6.957]"
59,0.9906738877777779,8.31053697660212,40dt sub1 MP1,"(7.66, 8.363]"
60,0.7507602711111111,8.50133621156931,40dt sub1 MP1,"(8.363, 9.066]"
61,0.9735914288888888,8.276784478361574,40dt sub1 MP1,"(7.66, 8.363]"
62,0.8596501766666668,8.88546256980047,40dt sub1 MP1,"(8.363, 9.066]"
63,1.153034011111111,10.826350967682465,40dt sub1 MP1,"(10.472, 11.175]"
64,0.9020968055555555,7.214427558754311,40dt sub1 MP1,"(6.957, 7.66]"
65,0.792929701111111,10.354293769628562,40dt sub1 MP1,"(9.769, 10.472]"
66,1.1481237666666668,10.80530505651058,40dt sub1 MP1,"(10.472, 11.175]"
67,0.8750556233333333,7.520300123035123,40dt sub1 MP1,"(6.957, 7.66]"
68,0.9776333177777777,9.434583084203098,40dt sub1 MP1,"(9.066, 9.769]"
69,1.051371071111111,8.952919293452574,40dt sub1 MP1,"(8.363, 9.066]"
70,0.7858245566666667,6.52625407146461,40dt sub1 MP1,"(6.248, 6.957]"
71,1.1226492444444445,8.00182654996943,40dt sub1 MP1,"(7.66, 8.363]"
72,0.6819888433333333,7.886639881225578,40dt sub1 MP1,"(7.66, 8.363]"
73,1.0154475477777778,8.299918936664458,40dt sub1 MP1,"(7.66, 8.363]"
74,0.8837850411111111,8.876217384747243,40dt sub1 MP1,"(8.363, 9.066]"
75,0.9228399155555557,6.710871463302249,40dt sub1 MP1,"(6.248, 6.957]"
76,0.7547736500000001,10.116578190632692,40dt sub1 MP1,"(9.769, 10.472]"
77,0.9213203266666667,8.751288490791307,40dt sub1 MP1,"(8.363, 9.066]"
78,0.9764147699999999,6.663530465976664,40dt sub1 MP1,"(6.248, 6.957]"
79,0.9858432366666666,6.638517191228297,40dt sub1 MP1,"(6.248, 6.957]"
80,0.8327217455555556,11.382200393379751,40dt sub1 MP1,"(11.175, 11.877]"
81,0.9891316288888888,7.189225363277388,40dt sub1 MP1,"(6.957, 7.66]"
82,0.7590399455555557,6.309947502086393,40dt sub1 MP1,"(6.248, 6.957]"
83,0.8438131055555556,6.343391640919562,40dt sub1 MP1,"(6.248, 6.957]"
84,0.8448795211111111,11.027881311932298,40dt sub1 MP1,"(10.472, 11.175]"
85,0.8837491155555556,11.10678659857161,40dt sub1 MP1,"(10.472, 11.175]"
86,1.3958561999999999,10.259428183687824,40dt sub1 MP1,"(9.769, 10.472]"
87,0.8575016122222222,6.254103309481002,40dt sub1 MP1,"(6.248, 6.957]"
88,0.9962265355555555,7.101199373281914,40dt sub1 MP1,"(6.957, 7.66]"
89,0.796930251111111,9.434478899751824,40dt sub1 MP1,"(9.066, 9.769]"
90,1.1720261222222221,10.198655667534396,40dt sub1 MP1,"(9.769, 10.472]"
91,0.9281549222222222,8.424206344444595,40dt sub1 MP1,"(8.363, 9.066]"
92,0.8535592833333333,7.828227622564988,40dt sub1 MP1,"(7.66, 8.363]"
93,0.7510754555555555,8.452698656572183,40dt sub1 MP1,"(8.363, 9.066]"
94,0.9040062922222223,8.510400264941161,40dt sub1 MP1,"(8.363, 9.066]"
95,1.1955586444444444,10.212013086662228,40dt sub1 MP1,"(9.769, 10.472]"
96,0.9489232266666667,9.294866301598079,40dt sub1 MP1,"(9.066, 9.769]"
97,1.360218411111111,10.420234130893322,40dt sub1 MP1,"(9.769, 10.472]"
98,1.0168465644444444,10.799222464583018,40dt sub1 MP1,"(10.472, 11.175]"
99,0.6018393422222222,6.333407501441268,40dt sub1 MP1,"(6.248, 6.957]"
50,0.8158263655555555,6.399353141731069,40dt sub2 MP2,"(6.248, 6.957]"
51,0.9977836955555556,6.863231597826855,40dt sub2 MP2,"(6.248, 6.957]"
52,0.6098387355555555,6.6929403819921305,40dt sub2 MP2,"(6.248, 6.957]"
53,1.1679161333333334,9.546862896665827,40dt sub2 MP2,"(9.066, 9.769]"
54,1.4845152444444443,11.250029653407651,40dt sub2 MP2,"(11.175, 11.877]"
55,0.9999407833333334,9.427395910456635,40dt sub2 MP2,"(9.066, 9.769]"
56,0.9492832911111111,6.311771198790625,40dt sub2 MP2,"(6.248, 6.957]"
57,1.6722060444444447,11.877424083519557,40dt sub2 MP2,"(11.175, 11.877]"
58,0.8236754366666666,6.807313250478883,40dt sub2 MP2,"(6.248, 6.957]"
59,1.0188332144444443,8.31053697660212,40dt sub2 MP2,"(7.66, 8.363]"
60,0.8171906999999999,8.50133621156931,40dt sub2 MP2,"(8.363, 9.066]"
61,1.0364377722222222,8.276784478361574,40dt sub2 MP2,"(7.66, 8.363]"
62,0.8907167077777777,8.88546256980047,40dt sub2 MP2,"(8.363, 9.066]"
63,1.2209367333333334,10.826350967682465,40dt sub2 MP2,"(10.472, 11.175]"
64,0.9107689333333333,7.214427558754311,40dt sub2 MP2,"(6.957, 7.66]"
65,0.8305289255555556,10.354293769628562,40dt sub2 MP2,"(9.769, 10.472]"
66,1.2941843555555554,10.80530505651058,40dt sub2 MP2,"(10.472, 11.175]"
67,0.9165553233333333,7.520300123035123,40dt sub2 MP2,"(6.957, 7.66]"
68,1.0847536033333334,9.434583084203098,40dt sub2 MP2,"(9.066, 9.769]"
69,1.0863686555555556,8.952919293452574,40dt sub2 MP2,"(8.363, 9.066]"
70,0.8351284800000001,6.52625407146461,40dt sub2 MP2,"(6.248, 6.957]"
71,1.1540033,8.00182654996943,40dt sub2 MP2,"(7.66, 8.363]"
72,0.7202406422222222,7.886639881225578,40dt sub2 MP2,"(7.66, 8.363]"
73,1.058446188888889,8.299918936664458,40dt sub2 MP2,"(7.66, 8.363]"
74,0.9281522344444445,8.876217384747243,40dt sub2 MP2,"(8.363, 9.066]"
75,0.98439733,6.710871463302249,40dt sub2 MP2,"(6.248, 6.957]"
76,0.8443894844444445,10.116578190632692,40dt sub2 MP2,"(9.769, 10.472]"
77,0.9322960844444445,8.751288490791307,40dt sub2 MP2,"(8.363, 9.066]"
78,1.0175851200000001,6.663530465976664,40dt sub2 MP2,"(6.248, 6.957]"
79,0.9937954688888888,6.638517191228297,40dt sub2 MP2,"(6.248, 6.957]"
80,0.94349734,11.382200393379751,40dt sub2 MP2,"(11.175, 11.877]"
81,1.0366864177777777,7.189225363277388,40dt sub2 MP2,"(6.957, 7.66]"
82,0.7881735577777778,6.309947502086393,40dt sub2 MP2,"(6.248, 6.957]"
83,0.8931953822222223,6.343391640919562,40dt sub2 MP2,"(6.248, 6.957]"
84,0.9188316277777777,11.027881311932298,40dt sub2 MP2,"(10.472, 11.175]"
85,0.9490377822222222,11.10678659857161,40dt sub2 MP2,"(10.472, 11.175]"
86,1.5439182777777778,10.259428183687824,40dt sub2 MP2,"(9.769, 10.472]"
87,0.9264288377777778,6.254103309481002,40dt sub2 MP2,"(6.248, 6.957]"
88,1.0631754,7.101199373281914,40dt sub2 MP2,"(6.957, 7.66]"
89,0.8246452066666667,9.434478899751824,40dt sub2 MP2,"(9.066, 9.769]"
90,1.2926703777777777,10.198655667534396,40dt sub2 MP2,"(9.769, 10.472]"
91,0.9464076266666667,8.424206344444595,40dt sub2 MP2,"(8.363, 9.066]"
92,0.8518799122222221,7.828227622564988,40dt sub2 MP2,"(7.66, 8.363]"
93,0.8043956066666667,8.452698656572183,40dt sub2 MP2,"(8.363, 9.066]"
94,0.9727503366666667,8.510400264941161,40dt sub2 MP2,"(8.363, 9.066]"
95,1.2622905333333334,10.212013086662228,40dt sub2 MP2,"(9.769, 10.472]"
96,0.9790075866666668,9.294866301598079,40dt sub2 MP2,"(9.066, 9.769]"
97,1.4267972222222223,10.420234130893322,40dt sub2 MP2,"(9.769, 10.472]"
98,1.0623846555555554,10.799222464583018,40dt sub2 MP2,"(10.472, 11.175]"
99,0.6829586666666666,6.333407501441268,40dt sub2 MP2,"(6.248, 6.957]"
